Index,date,close
1779,10/24/2017,48.53
1780,10/23/2017,48.42
1781,10/20/2017,49.41
1782,10/19/2017,49.22
1783,10/18/2017,49.64
1784,10/17/2017,49.61
1785,10/16/2017,49.6
1786,10/13/2017,49.48
1787,10/12/2017,49.39
1788,10/11/2017,49.46
1789,10/10/2017,48.63
1790,10/9/2017,48.85
1791,10/6/2017,48.94
1792,10/5/2017,48.5
1793,10/4/2017,47.58
1794,10/3/2017,47.89
1795,10/2/2017,47.66
1796,9/29/2017,47.96
1797,9/28/2017,47.48
1798,9/27/2017,47.22
1799,9/26/2017,46.24
1800,9/25/2017,46.05
1801,9/22/2017,46.43
1802,9/21/2017,46.62
1803,9/20/2017,46.58
1804,9/19/2017,46.09
1805,9/18/2017,45.75
1806,9/15/2017,46.01
1807,9/14/2017,46.26
1808,9/13/2017,46.75
1809,9/12/2017,46.6
1810,9/11/2017,46.45
1811,9/8/2017,46.33
1812,9/7/2017,46.8
1813,9/6/2017,46.39
1814,9/5/2017,46.42
1815,9/1/2017,46.87
1816,8/31/2017,46.97
1817,8/30/2017,46.48
1818,8/29/2017,46.06
1819,8/28/2017,45.69
1820,8/25/2017,45.79
1821,8/24/2017,46.06
1822,8/23/2017,46.35
1823,8/22/2017,46.23
1824,8/21/2017,45.33
1825,8/18/2017,45.53
1826,8/17/2017,45.55
1827,8/16/2017,46.35
1828,8/15/2017,46.11
1829,8/14/2017,46.13
1830,8/11/2017,45.72
1831,8/10/2017,45.36
1832,8/9/2017,46.15
1833,8/8/2017,46.34
1834,8/7/2017,46.47
1835,8/4/2017,46.4
1836,8/3/2017,46.18
1837,8/2/2017,46.52
1838,8/1/2017,46.54
1839,7/31/2017,46.53
1840,7/28/2017,47.08
1841,7/27/2017,46.7
1842,7/26/2017,47.39
1843,7/25/2017,47.54
1844,7/24/2017,49.02
1845,7/21/2017,48.65
1846,7/20/2017,48.41
1847,7/19/2017,48.54
1848,7/18/2017,48.27
1849,7/17/2017,47.67
1850,7/14/2017,47.8
1851,7/13/2017,47.36
1852,7/12/2017,47.19
1853,7/11/2017,46.5
1854,7/10/2017,46.44
1855,7/7/2017,45.93
1856,7/6/2017,45.33
1857,7/5/2017,45.59
1858,7/3/2017,44.94
1859,6/30/2017,45.44
1860,6/29/2017,45.89
1861,6/28/2017,47.02
1862,6/27/2017,46.37
1863,6/26/2017,47.61
1864,6/23/2017,48.28
1865,6/22/2017,47.85
1866,6/21/2017,47.97
1867,6/20/2017,47.53
1868,6/19/2017,47.87
1869,6/16/2017,46.99
1870,6/15/2017,47.12
1871,6/14/2017,47.54
1872,6/13/2017,47.67
1873,6/12/2017,47.15
1874,6/9/2017,47.49
1875,6/8/2017,49.17
1876,6/7/2017,49.05
1877,6/6/2017,48.83
1878,6/5/2017,49.18
1879,6/2/2017,48.78
1880,6/1/2017,48.35
1881,5/31/2017,48.24
1882,5/30/2017,48.79
1883,5/26/2017,48.57
1884,5/25/2017,48.48
1885,5/24/2017,47.75
1886,5/23/2017,47.44
1887,5/22/2017,47.09
1888,5/19/2017,46.7
1889,5/18/2017,46.51
1890,5/17/2017,45.98
1891,5/16/2017,47.15
1892,5/15/2017,46.85
1893,5/12/2017,46.61
1894,5/11/2017,46.53
1895,5/10/2017,46.44
1896,5/9/2017,46.61
1897,5/8/2017,46.72
1898,5/5/2017,46.36
1899,5/4/2017,46.58
1900,5/3/2017,46.35
1901,5/2/2017,45.82
1902,5/1/2017,45.63
1903,4/28/2017,45.3
1904,4/27/2017,43.71
1905,4/26/2017,43.59
1906,4/25/2017,43.62
1907,4/24/2017,43.14
1908,4/21/2017,42.16
1909,4/20/2017,42.08
1910,4/19/2017,41.91
1911,4/18/2017,41.84
1912,4/17/2017,41.86
1913,4/13/2017,41.18
1914,4/12/2017,41.22
1915,4/11/2017,41.17
